sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4670-825,TRUE,4670CTBRS5,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,Desert tan,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4670-825,TRUE,4670CTBRS5,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,Desert tan,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4670CTBRS57,TRUE,4670CTBRS57,4670-835,4670-836,4670-825,4670-825,4670-825,,,,,,796995986107,Charleston,Charleston 7-Piece Counter Height Rectangle Wood Dining Set w/Ladder Back Stool,Desert tan,,,,,Brown Vinyl,,,$700.0,$1299.0,Dining,Dining Set,Metal,,Counter Height,192.0,41.75,72.0,36.0,,,"Hillsdale's Charleston collection beautifully combines a rustic desert tan wood finish with a dark grey metal and offers a multitude of choices to create the perfect counter height dining group for your home. Starting with the non-swivel stools, you have the choice of 3 lovely designs: the x-back stool combines a rustic desert tan top accent with a transitional metal ""x"" in the center of the back and a brown faux leather seat. The parson's stool is traditional in design and combines the rustic desert tan finish with the brown faux leather seat. The ladder back stool features 3 rungs in the desert tan finish enhanced by the dark grey metal and brown faux leather seat. Now that you've decided on your stool, let's look at the table options: the stunning rectangle table features a wood top that is generously scaled to easily accomodate six. The round wood table is 48"" in diameter and features a wonderful metal accent on the base.",Wood has a rustic desert tan finish,Dark grey metal,Your choice of three stool designs,,,,Wood, Metal,,,Rubber wood,China,LTL,5.0,26.0,6.0,38.7,47.0,83.0,4.25,40.0,77.5,36.0,10.75,24.5,45.8,36.0,10.75,24.5,45.8,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,150.0,,hh4670ctbrs57.jpg,,,,,,,,,,,,,,,,,,,hh4670ctbrs57.jpg,,,hh4670ctbrs57.jpg,,,,,,,,,
4670-835,TRUE,4670CTBRS57,,,,,,,,,,,79699597757,Charleston,Charleston Rectangle Counter Height Dining Table - Base,Desert tan,,,,,,,,$90.0,,Dining,Table,Metal,Rectangle,Counter Height,21.0,36.0,72.0,36.0,,,,,,,,,,Wood, Metal,,,,China,Oversized,1.0,26.0,6.0,38.7,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670-836,TRUE,4670CTBRS57,,,,,,,,,,,796995977587,Charleston,Charleston Rectangle Counter Height Dining Table - Top,Desert tan,,,,,,,,$160.0,,Dining,Table,Metal,Rectangle,Counter Height,78.0,,,,,,,,,,,,,Wood, Metal,,,,China,LTL,1.0,83.0,4.25,40.0,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670-825,TRUE,4670CTBRS57,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,Desert tan,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4670-825,TRUE,4670CTBRS57,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,Desert tan,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4670-825,TRUE,4670CTBRS57,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,Desert tan,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4670CTBR,TRUE,4670CTBR,4670-835,4670-836,,,,,,,,,796995985971,Charleston,Charleston Rectangle Counter Height Table,Desert tan,,,,,Brown Vinyl,,,$250.0,$569.0,Dining,Table,Metal,Rectangle,Counter Height,99.0,36.0,72.0,36.0,,,"Hillsdale's Charleston collection beautifully combines a rustic desert tan wood finish with a dark grey metal and offers a multitude of choices to create the perfect counter height dining group for your home. Starting with the non-swivel stools, you have the choice of 3 lovely designs: the x-back stool combines a rustic desert tan top accent with a transitional metal ""x"" in the center of the back and a brown faux leather seat. The parson's stool is traditional in design and combines the rustic desert tan finish with the brown faux leather seat. The ladder back stool features 3 rungs in the desert tan finish enhanced by the dark grey metal and brown faux leather seat. Now that you've decided on your stool, let's look at the table options: the stunning rectangle table features a wood top that is generously scaled to easily accomodate six. The round wood table is 48"" in diameter and features a wonderful metal accent on the base.",Wood has a rustic desert tan finish,Dark grey metal,Your choice of three stool designs,,,,Wood, Metal,,,Rubber wood,China,LTL,2.0,26.0,6.0,38.7,47.0,83.0,4.25,40.0,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,hh4670ctbr.jpg,,,,,,,,,,,,,,,,,,,hh4670ctbr.jpg,hh4670ctbrs2.jpg,hh4670ctbrs27.jpg,hh4670ctbr.jpg,hh4670ctbrs2.jpg,hh4670ctbrs27.jpg,hh4670ctbrs4.jpg,hh4670ctbrs5.jpg,hh4670ctbrs57.jpg,hh4670ctbr.jpg,hh4670ctbr.jpg,hh4670ctbr.jpg,hh4670ctbr.jpg
4670-835,TRUE,4670CTBR,,,,,,,,,,,79699597757,Charleston,Charleston Rectangle Counter Height Dining Table - Base,Desert tan,,,,,,,,$90.0,,Dining,Table,Metal,Rectangle,Counter Height,21.0,36.0,72.0,36.0,,,,,,,,,,Wood, Metal,,,,China,Oversized,1.0,26.0,6.0,38.7,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670-836,TRUE,4670CTBR,,,,,,,,,,,796995977587,Charleston,Charleston Rectangle Counter Height Dining Table - Top,Desert tan,,,,,,,,$160.0,,Dining,Table,Metal,Rectangle,Counter Height,78.0,,,,,,,,,,,,,Wood, Metal,,,,China,LTL,1.0,83.0,4.25,40.0,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670-802,TRUE,4670-802,,,,,,,,,,,796995977365,Charleston,Charleston X-Back Dining Chair - Set of 2,,,,,,,,,$130.0,$269.0,Dining,Chair,Metal,X-Back,Dining Height,16.0,39.5,20.0,19.0,,,,,,,,,,,,,,,China,Small Parcel,1.0,37.0,10.5,23.0,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,hh4670-802.jpg,,,,,,,,,,,,,,,,,,,hh4670-802.jpg,,,hh4670-802.jpg,,,,,,,,,
4670-804,TRUE,4670-804,,,,,,,,,,,79699597744,Charleston,Charleston Parson Dining Chair - Set of 2,,,,,,,,,$150.0,$299.0,Dining,Chair,Metal,Parson,Dining Height,17.5,38.0,20.0,19.0,,,,,,,,,,,,,,,China,Small Parcel,1.0,40.0,14.25,22.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,hh4670-804.jpg,,,,,,,,,,,,,,,,,,,hh4670-804.jpg,,,hh4670-804.jpg,,,,,,,,,
4670-805,TRUE,4670-805,,,,,,,,,,,796995977464,Charleston,Charleston Ladder Back Dining Chair,,,,,,,,,$150.0,$299.0,Dining,Chair,Metal,Ladder Back,Dining Height,34.0,37.5,20.0,22.0,,,,,,,,,,,,,,,China,Small Parcel,1.0,39.0,10.5,24.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,hh4670-805.jpg,,,,,,,,,,,,,,,,,,,hh4670-805.jpg,,,hh4670-805.jpg,,,,,,,,,
4670-822,TRUE,4670-822,,,,,,,,,,,796995977372,Charleston,Charleston X-Back Non-Swivel Stool - Set of 2,,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,X-Back,Counter Height,16.0,41.75,19.5,19.25,,,,,,,,,,,,,,,China,Small Parcel,1.0,37.0,10.0,23.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,hh4670-822.jpg,,,,,,,,,,,,,,,,,,,hh4670-822.jpg,,,hh4670-822.jpg,,,,,,,,,
4670-824,TRUE,4670-824,,,,,,,,,,,796995977457,Charleston,Charleston Parson Non-Swivel Stool - Set of 2,,,,,,,,,$220.0,$399.0,Dining,Stool,Metal,Parson,Counter Height,20.5,41.0,18.75,23.5,,,,,,,,,,,,,,,China,Small Parcel,1.0,46.0,15.5,22.5,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,hh4670-824.jpg,,,,,,,,,,,,,,,,,,,hh4670-824.jpg,,,hh4670-824.jpg,,,,,,,,,
4670-825,TRUE,4670-825,,,,,,,,,,,796995979406,Charleston,Charleston Ladder Back Non-Swivel Stool,,,,,,,,,$150.0,$299.0,Dining,Stool,Metal,Ladder Back,Counter Height,15.5,41.75,19.5,19.25,,,,,,,,,,,,,,,China,Small Parcel,1.0,36.0,10.75,24.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,hh4670-825.jpg,,,,,,,,,,,,,,,,,,,hh4670-825.jpg,,,hh4670-825.jpg,,,,,,,,,
4975PTBBRN,TRUE,4975PTBBRN,4975-840,4975-841,,,,,,,,,796995927124,Dynamic Designs,Dynamic Pub Table,Brown Cherry,,,,,,,,$135.0,,Dining,Table,Wood,,Bar Height,46.0,40.0,36.0,36.0,,,"Who says fabulous designer looks only come at designer prices? The Hillsdale Furniture Dynamic Designs Bistro Collection offers any home owner the opportunity to add style to their homes without breaking the bank. The 36"" diameter table is available in either a brown cherry finish or in a two-toned brown cherry top with black base, lending itself to a myriad of looks as you choose the matching swivel stool that will best fit your home. ",Extremely versatile design.,Choose your own bar stool to create a look that is all your own,,,,,Wood ,,,,"Rubber wood, Okume Veneer",Malaysia,Small Parcel,2.0,32.0,5.0,39.0,39.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,hh4975ptbbrnsjf.jpg,hh4975ptbbrnsmf.jpg,,hh4975ptbbrnsjf.jpg,hh4975ptbbrnsmf.jpg,hh4975ptbbrnsjf.jpg,hh4975ptbbrnsjf.jpg,hh4975ptbbrnsmf.jpg,hh4975ptbbrnsmf.jpg,,,,
4975-840,TRUE,4975PTBBRN,,,,,,,,,,,79699507194,Dynamic Designs,Dynamic Designs Pub Table - Top,Brown Cherry,,,,,,,,$85.0,,Dining,Table,Wood,,Bar Height,27.0,,36.0,36.0,,,,,,,,,,Wood ,,,,,Malaysia,Small Parcel,1.0,32.0,5.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-841,TRUE,4975PTBBRN,,,,,,,,,,,796995073883,Dynamic Designs,Dynamic Designs Pub Table - Pedestal Base,Brown Cherry,,,,,,,,$50.0,,Dining,Table,Wood,,Bar Height,19.0,40.0,,,,,,,,,,,,Wood ,,,,,Malaysia,Small Parcel,1.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975PTBBRNS2MF,TRUE,4975PTBBRNS2MF,4975-832,4975-832,4975-840,4975-841,,,,,,,796995927131,Dynamic Designs,Mansfield 3-Piece Pub Set,Brown Cherry,,,,,,,,$325.0,,Dining,Dining Set,Wood,,Bar Height,72.0,46.75,18.25,36.0,,,"Who says fabulous designer looks only come at designer prices? The Hillsdale Furniture Dynamic Designs Bistro Collection offers any home owner the opportunity to add style to their homes without breaking the bank. The 36"" diameter table is available in either a brown cherry finish or in a two-toned brown cherry top with black base, lending itself to a myriad of looks as you choose the matching swivel stool that will best fit your home. ",Extremely versatile design.,Choose your own bar stool to create a look that is all your own,,,,,Wood,,,,"Rubber wood, Okume Veneer",Malaysia,Small Parcel,4.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,32.0,5.0,39.0,39.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-832,TRUE,4975PTBBRNS2MF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-832,TRUE,4975PTBBRNS2MF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-840,TRUE,4975PTBBRNS2MF,,,,,,,,,,,79699507194,Dynamic Designs,Dynamic Designs Pub Table - Top,Brown Cherry,,,,,,,,$85.0,,Dining,Table,Wood,,Bar Height,27.0,,36.0,36.0,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,32.0,5.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-841,TRUE,4975PTBBRNS2MF,,,,,,,,,,,796995073883,Dynamic Designs,Dynamic Designs Pub Table - Pedestal Base,Brown Cherry,,,,,,,,$50.0,,Dining,Table,Wood,,Bar Height,19.0,40.0,,,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975PTBBRNS2JF,TRUE,4975PTBBRNS2JF,4975-830,4975-830,4975-840,4975-841,,,,,,,796995929357,Dynamic Designs,Jefferson 3-Piece Pub Set,Brown Cherry,,,,,,,,$325.0,,Dining,Dining Set,Wood,,Bar Height,72.0,46.75,36.0,36.0,,,"Who says fabulous designer looks only come at designer prices? The Hillsdale Furniture Dynamic Designs Bistro Collection offers any home owner the opportunity to add style to their homes without breaking the bank. The 36"" diameter table is available in either a brown cherry finish or in a two-toned brown cherry top with black base, lending itself to a myriad of looks as you choose the matching swivel stool that will best fit your home. ",Extremely versatile design.,Choose your own bar stool to create a look that is all your own,,,,,Wood,,,,"Rubber wood, Okume Veneer",Malaysia,Small Parcel,4.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,32.0,5.0,39.0,39.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-830,TRUE,4975PTBBRNS2JF,,,,,,,,,,,796995071964,Dynamic Designs,Jefferson Swivel Bar Stool with Cushion Back,Brown Cherry,,,,,Ivory,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,The brown cherry finished Jefferson Stool bridges the gap between transitional and traditional with its comfortable upholstered seat and back. The neutral ivory fabric compliments any décor.,Brown cherry finish,Upholstered seat and back,Neutral ivory fabric,,,,Wood, Vinyl,,,Rubber wood,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-830.jpg,,,,,,,,,,,,,,,,,,,hh4975-830.jpg,,,hh4975-830.jpg,,,,,,,,,
4975-830,TRUE,4975PTBBRNS2JF,,,,,,,,,,,796995071964,Dynamic Designs,Jefferson Swivel Bar Stool with Cushion Back,Brown Cherry,,,,,Ivory,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,The brown cherry finished Jefferson Stool bridges the gap between transitional and traditional with its comfortable upholstered seat and back. The neutral ivory fabric compliments any décor.,Brown cherry finish,Upholstered seat and back,Neutral ivory fabric,,,,Wood, Vinyl,,,Rubber wood,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-830.jpg,,,,,,,,,,,,,,,,,,,hh4975-830.jpg,,,hh4975-830.jpg,,,,,,,,,
4975-840,TRUE,4975PTBBRNS2JF,,,,,,,,,,,79699507194,Dynamic Designs,Dynamic Designs Pub Table - Top,Brown Cherry,,,,,,,,$85.0,,Dining,Table,Wood,,Bar Height,27.0,,36.0,36.0,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,32.0,5.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-841,TRUE,4975PTBBRNS2JF,,,,,,,,,,,796995073883,Dynamic Designs,Dynamic Designs Pub Table - Pedestal Base,Brown Cherry,,,,,,,,$50.0,,Dining,Table,Wood,,Bar Height,19.0,40.0,,,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975PTBBRNSMF,TRUE,4975PTBBRNSMF,4975-832,4975-832,4975-832,4975-832,4975-840,4975-841,,,,,796995928176,Dynamic Designs,Mansfield 5-Piece Pub Set,Brown Cherry,,,,,,,,$515.0,,Dining,Dining Set,Wood,,Bar Height,146.0,46.75,36.0,36.0,,,"Who says fabulous designer looks only come at designer prices? The Hillsdale Furniture Dynamic Designs Bistro Collection offers any home owner the opportunity to add style to their homes without breaking the bank. The 36"" diameter table is available in either a brown cherry finish or in a two-toned brown cherry top with black base, lending itself to a myriad of looks as you choose the matching swivel stool that will best fit your home. ",Extremely versatile design.,Choose your own bar stool to create a look that is all your own,,,,,Wood,,,,"Rubber wood, Okume Veneer",Malaysia,Small Parcel,6.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,32.0,5.0,39.0,39.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,140.0,,hh4975ptbbrnsmf.jpg,,,,,,,,,,,,,,,,,,,hh4975ptbbrnsmf.jpg,,,hh4975ptbbrnsmf.jpg,,,,,,,,,
4975-832,TRUE,4975PTBBRNSMF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-832,TRUE,4975PTBBRNSMF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-832,TRUE,4975PTBBRNSMF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-832,TRUE,4975PTBBRNSMF,,,,,,,,,,,796995072008,Dynamic Designs,Mansfield Swivel Bar Stool,Brown Cherry,,,,,Black Vinyl,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,"The Mansfield Stool with its criss-cross design, brown cherry finish, and black faux leather seat offers a transitional flare.",Criss-cross design,Brown cherry finish,Black faux leather seat.,,,,Wood, Vinyl,,,,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-832.jpg,,,,,,,,,,,,,,,,,,,hh4975-832.jpg,,,hh4975-832.jpg,,,,,,,,,
4975-840,TRUE,4975PTBBRNSMF,,,,,,,,,,,79699507194,Dynamic Designs,Dynamic Designs Pub Table - Top,Brown Cherry,,,,,,,,$85.0,,Dining,Table,Wood,,Bar Height,27.0,,36.0,36.0,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,32.0,5.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975-841,TRUE,4975PTBBRNSMF,,,,,,,,,,,796995073883,Dynamic Designs,Dynamic Designs Pub Table - Pedestal Base,Brown Cherry,,,,,,,,$50.0,,Dining,Table,Wood,,Bar Height,19.0,40.0,,,,,,,,,,,,Wood,,,,,Malaysia,Small Parcel,1.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975PTBBRNSJF,TRUE,4975PTBBRNSJF,4975-830,4975-830,4975-830,4975-830,4975-840,4975-841,,,,,796995928183,Dynamic Designs,Jefferson 5-Piece Pub Set,Brown Cherry,,,,,,,,$515.0,,Dining,Dining Set,Wood,,Bar Height,146.0,46.75,36.0,36.0,,,"Who says fabulous designer looks only come at designer prices? The Hillsdale Furniture Dynamic Designs Bistro Collection offers any home owner the opportunity to add style to their homes without breaking the bank. The 36"" diameter table is available in either a brown cherry finish or in a two-toned brown cherry top with black base, lending itself to a myriad of looks as you choose the matching swivel stool that will best fit your home. ",Extremely versatile design.,Choose your own bar stool to create a look that is all your own,,,,,Wood,,,,"Rubber wood, Okume Veneer",Malaysia,Small Parcel,6.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,30.0,9.0,24.0,36.0,32.0,5.0,39.0,39.0,24.0,7.0,10.0,42.0,,,,,,,,,,,,,140.0,,hh4975ptbbrnsjf.jpg,,,,,,,,,,,,,,,,,,,hh4975ptbbrnsjf.jpg,,,hh4975ptbbrnsjf.jpg,,,,,,,,,
4975-830,TRUE,4975PTBBRNSJF,,,,,,,,,,,796995071964,Dynamic Designs,Jefferson Swivel Bar Stool with Cushion Back,Brown Cherry,,,,,Ivory,,,$95.0,$199.0,Dining,Stool,Wood,,Bar Height,25.0,46.75,18.25,21.5,,,The brown cherry finished Jefferson Stool bridges the gap between transitional and traditional with its comfortable upholstered seat and back. The neutral ivory fabric compliments any décor.,Brown cherry finish,Upholstered seat and back,Neutral ivory fabric,,,,Wood, Vinyl,,,Rubber wood,Malaysia,Small Parcel,1.0,30.0,9.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,hh4975-830.jpg,,,,,,,,,,,,,,,,,,,hh4975-830.jpg,,,hh4975-830.jpg,,,,,,,,,
